Data,Estado,UF,QtdVendas,QtdAprovados,QtdCancelamentos
2014-09-01,Bahia,BA,3,2,1
2014-09-01,Ceará,CE,2,2,0
2014-09-01,Mato Grosso do Sul,MS,2,2,0
2014-09-01,Minas Gerais,MG,2,2,0
2014-09-01,Paraná,PR,1,0,1
2014-09-01,Rio de Janeiro,RJ,8,1,7
2014-09-01,São Paulo,SP,2,2,0
2014-09-02,Amazonas,AM,1,1,0
2014-09-02,Bahia,BA,1,0,1
2014-09-02,Pernambuco,PE,1,1,0
2014-09-02,Rio Grande do Norte,RN,2,0,2
2014-09-02,Rio de Janeiro,RJ,9,3,6
2014-09-02,Santa Catarina,SC,1,1,0
2014-09-02,São Paulo,SP,5,1,4
2014-09-03,Ceará,CE,4,1,3
2014-09-03,Goiás,GO,1,0,1
2014-09-03,Paraíba,PB,1,0,1
2014-09-03,Pernambuco,PE,1,1,0
2014-09-03,Rio Grande do Norte,RN,2,2,0
2014-09-03,Rio de Janeiro,RJ,7,2,5
2014-09-03,Santa Catarina,SC,1,1,0
2014-09-03,São Paulo,SP,3,1,2
2014-09-04,Bahia,BA,2,1,1
2014-09-04,Paraná,PR,2,1,1
2014-09-04,Rio Grande do Norte,RN,2,1,1
2014-09-04,Rio de Janeiro,RJ,8,6,2
2014-09-04,Santa Catarina,SC,1,1,0
2014-09-04,São Paulo,SP,5,3,2
2014-09-05,Bahia,BA,7,3,4
2014-09-05,Goiás,GO,1,0,1
2014-09-05,Minas Gerais,MG,1,0,1
2014-09-05,Pernambuco,PE,2,2,0
2014-09-05,Rio de Janeiro,RJ,3,2,1
2014-09-05,Santa Catarina,SC,1,1,0
2014-09-05,São Paulo,SP,5,1,4
2014-09-06,Alagoas,AL,1,0,1
2014-09-06,Ceará,CE,1,1,0
2014-09-06,Paraná,PR,1,1,0
2014-09-06,Paraíba,PB,1,0,1
2014-09-06,Pernambuco,PE,1,1,0
2014-09-06,Rio Grande do Norte,RN,4,3,1
2014-09-06,Rio de Janeiro,RJ,7,3,4
2014-09-06,Sergipe,SE,1,1,0
2014-09-06,São Paulo,SP,3,2,1
2014-09-07,Alagoas,AL,1,1,0
2014-09-07,Goiás,GO,2,0,2
2014-09-07,Paraná,PR,2,2,0
2014-09-07,Paraíba,PB,1,1,0
2014-09-07,Rio de Janeiro,RJ,4,1,3
2014-09-07,São Paulo,SP,10,2,8
2014-09-08,Amazonas,AM,1,0,1
2014-09-08,Bahia,BA,2,0,2
2014-09-08,Paraná,PR,4,1,3
2014-09-08,Pernambuco,PE,1,1,0
2014-09-08,Rio Grande do Norte,RN,1,1,0
2014-09-08,Rio Grande do Sul,RS,1,0,1
2014-09-08,Rio de Janeiro,RJ,9,4,5
2014-09-08,Santa Catarina,SC,1,1,0
2014-09-09,Bahia,BA,1,1,0
2014-09-09,Ceará,CE,1,0,1
2014-09-09,Paraná,PR,2,0,2
2014-09-09,Pernambuco,PE,1,0,1
2014-09-09,Rio Grande do Sul,RS,5,3,2
2014-09-09,Rio de Janeiro,RJ,3,3,0
2014-09-09,Santa Catarina,SC,2,2,0
2014-09-09,São Paulo,SP,5,3,2
2014-09-10,Bahia,BA,1,1,0
2014-09-10,Goiás,GO,1,0,1
2014-09-10,Paraná,PR,2,2,0
2014-09-10,Rio Grande do Sul,RS,1,1,0
2014-09-10,Rio de Janeiro,RJ,9,7,2
2014-09-10,Santa Catarina,SC,1,0,1
2014-09-10,São Paulo,SP,5,5,0
2014-09-11,Alagoas,AL,3,1,2
2014-09-11,Bahia,BA,1,1,0
2014-09-11,Minas Gerais,MG,1,1,0
2014-09-11,Paraná,PR,1,1,0
2014-09-11,Paraíba,PB,1,0,1
2014-09-11,Pernambuco,PE,1,0,1
2014-09-11,Rio Grande do Norte,RN,1,0,1
2014-09-11,Rio de Janeiro,RJ,6,3,3
2014-09-11,Santa Catarina,SC,1,1,0
2014-09-11,São Paulo,SP,4,3,1
2014-09-12,Alagoas,AL,2,1,1
